mlbId,title,status,reason
"MLB4669465391","Kit C/3 Sensor De Corrente Ac Não Invasivosct-013 100a 50ma","pending-review","imagem real do anúncio exato não verificada; quantidade divergente: cadastro=1, texto=4"
"MLB4669465397","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","pending-review","imagem real do anúncio exato não verificada"
"MLB4669478861","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac","pending-review","imagem real do anúncio exato não verificada"
"MLB4669479535","Kit 100 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino","pending-review","imagem real do anúncio exato não verificada"
"MLB4669503045","Sensor De Corrente Ac Não Invasivo Sct-013 100a 50ma","pending-review","imagem real do anúncio exato não verificada"
"MLB4669505143","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","pending-review","imagem real do anúncio exato não verificada"
"MLB4669505471","Filtro Supressor De Ruídos Eicos K-8 Para Contatores 220v","pending-review","imagem real do anúncio exato não verificada"
"MLB4669565005","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","pending-review","imagem real do anúncio exato não verificada"
"MLB4669565379","3x Filtro Supressor De Ruídos Eicos K-8 Para Contatores","pending-review","imagem real do anúncio exato não verificada"
"MLB4832454317","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","pending-review","imagem real do anúncio exato não verificada"
"MLB4875918503","Módulo Gps Neo-6m V2 Com Antena Compatível Arduino Esp32 Esp8266 Raspberry Pi Rastreamento Navegação Telemetria Drone Robótica Geolocalização Projetos Blutu","pending-review","imagem real do anúncio exato não verificada"
"MLB5249469476","Kit 500 Reguladores De Tensão Ams1117 Smd 3,3v","pending-review","imagem real do anúncio exato não verificada"
"MLB5265377782","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","pending-review","imagem real do anúncio exato não verificada"
"MLB5268487034","Fonte De Alimentação Dc Hikari Hf-3205s  32v/5a P/bancadas","pending-review","imagem real do anúncio exato não verificada"
"MLB5268502876","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda De Cabos","pending-review","imagem real do anúncio exato não verificada"
"MLB5268502882","Kit15 Conector Parafuso Fendido Emenda Cabos Split Bolt 16mm","pending-review","imagem real do anúncio exato não verificada"
"MLB5272537202","Kit 10x Antena Gps 1575.42 Mhz Com Suporte A 3v-5v","pending-review","imagem real do anúncio exato não verificada"
"MLB5272637504","Kit 30 Placas De Fenolite Ilhada 5x7 Cm Pcb Perfurada","pending-review","imagem real do anúncio exato não verificada"
"MLB5272662416","Contator Hs Automação Trifásico 4011 40a 3p +1na+1nf 220v","pending-review","imagem real do anúncio exato não verificada"
"MLB5272698878","Contator Tripolar 4011 40a 220v 3p Com Contatos Auxiliares","pending-review","imagem real do anúncio exato não verificada"
"MLB5272831698","Kit Com 6 Pigtail U.fi Ipx Para Rp-sma Femêa Com 10 Cm","pending-review","imagem real do anúncio exato não verificada"
"MLB5272894966","Kit 200 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino","pending-review","imagem real do anúncio exato não verificada"
"MLB5288865822","Kit Com3x Transformador De Corrente Ac Não Invasivo Zmct123a","pending-review","imagem real do anúncio exato não verificada"
"MLB5375622238","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","pending-review","imagem real do anúncio exato não verificada; condição divergente entre cadastro, título ou descrição"
"MLB5375698778","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","pending-review","imagem real do anúncio exato não verificada; condição divergente entre cadastro, título ou descrição"
"MLB5375724278","Kit 5x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","pending-review","imagem real do anúncio exato não verificada; condição divergente entre cadastro, título ou descrição"
"MLB6747662378","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","pending-review","imagem real do anúncio exato não verificada"
"MLB6747664364","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","pending-review","imagem real do anúncio exato não verificada"
"MLB6747664922","Sensor De Corrente Ac Não Invasivo Ac Sct-013 100a 50ma","pending-review","imagem real do anúncio exato não verificada"
"MLB7070502622","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo (aberto)","pending-review","imagem real do anúncio exato não verificada"
"MLB7143332292","Kit 3x Módulo Gps Neo-6m V2 Com Antena Arduino Esp32 Esp8266","pending-review","imagem real do anúncio exato não verificada"
