file,title,description,canonical,jsonLdCount,issue
"dist\produtos\conector-split-bolt-16mm-intelli-cobre-eletrolitico-alta-condutibilidade-mlb5265377782\index.html","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta… | OMEGAIMPORTS","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/conector-split-bolt-16mm-intelli-cobre-eletrolitico-alta-condutibilidade-mlb5265377782/","4",""
"dist\produtos\contator-hs-automacao-trifasico-4011-40-a-3p-1na-1nf-220-v-mlb5272662416\index.html","Contator Hs Automação Trifásico 4011 40 A 3p +1na+1nf 220 V | OMEGAIMPORTS","Contator Hs Automação Trifásico 4011 40 A 3p +1na+1nf 220 V","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/contator-hs-automacao-trifasico-4011-40-a-3p-1na-1nf-220-v-mlb5272662416/","4",""
"dist\produtos\contator-trifasico-elitek-32-a-220-v-3-polos-modelo-ecp32a10m-mlb3939446645\index.html","Contator Trifásico Elitek 32 A 220 V 3 Polos Modelo Ecp32a10m | OMEGAIMPORTS","Contator Trifásico Elitek 32 A 220 V 3 Polos Modelo Ecp32a10m","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/contator-trifasico-elitek-32-a-220-v-3-polos-modelo-ecp32a10m-mlb3939446645/","4",""
"dist\produtos\contator-tripolar-4011-40-a-220-v-3p-com-contatos-auxiliares-mlb5272698878\index.html","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares | OMEGAIMPORTS","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/contator-tripolar-4011-40-a-220-v-3p-com-contatos-auxiliares-mlb5272698878/","4",""
"dist\produtos\filtro-supressor-de-ruidos-eicos-k-8-para-contatores-220-v-mlb4669505471\index.html","Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V | OMEGAIMPORTS","Filtro Supressor de Ruídos K-8 – Eicos Elimina ruídos elétricos causados pela comutação de bobinas em contatores e relés de comando. Produto compacto, eficiente e de.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/filtro-supressor-de-ruidos-eicos-k-8-para-contatores-220-v-mlb4669505471/","4",""
"dist\produtos\fonte-de-alimentacao-dc-hikari-hf-3205s-32-v-5-a-p-bancadas-mlb5268487034\index.html","Fonte de Alimentação DC Hikari Hf-3205s 32 V/5 A P/bancadas | OMEGAIMPORTS","Produto seminovo, em estado impecável, sem marcas de uso e com pleno funcionamento de todos os recursos. A Fonte de Alimentação Simples Hikari HF-3205S é ideal para.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/fonte-de-alimentacao-dc-hikari-hf-3205s-32-v-5-a-p-bancadas-mlb5268487034/","4",""
"dist\produtos\fonte-de-alimentacao-dc-variavel-bancada-hikari-3-a-hf-3203s-mlb4669500229\index.html","Fonte de Alimentação DC Variável Bancada Hikari 3 A Hf-3203s | OMEGAIMPORTS","Produto seminovo, em estado impecável, sem marcas de uso e com pleno funcionamento de todos os recursos. A Fonte de Alimentação Simples Hikari HF-3205S é ideal para.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/fonte-de-alimentacao-dc-variavel-bancada-hikari-3-a-hf-3203s-mlb4669500229/","4",""
"dist\produtos\fonte-de-alimentacao-dc-variavel-bancada-hikari-3-a-hf-3203s-mlb6747662378\index.html","Fonte de Alimentação DC Variável Bancada Hikari 3 A Hf-3203s | OMEGAIMPORTS","Produto seminovo, em estado impecável, sem marcas de uso e com pleno funcionamento de todos os recursos. A Fonte de Alimentação Simples Hikari HF-3205S é ideal para.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/fonte-de-alimentacao-dc-variavel-bancada-hikari-3-a-hf-3203s-mlb6747662378/","4",""
"dist\produtos\fonte-de-alimentacao-hlk-pm01-5-v-3-w-hi-link-modulo-ac-dc-mlb5268554980\index.html","Fonte de Alimentação HLK-PM01 5 V/3 W Hi-link Módulo AC/dc | OMEGAIMPORTS","A Mini Fonte Chaveada Hi-Link HLK-PM01 5 V/3 W é uma solução compacta e eficiente para conversão de energia AC para DC, ideal para projetos de automação, IoT e.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/fonte-de-alimentacao-hlk-pm01-5-v-3-w-hi-link-modulo-ac-dc-mlb5268554980/","4",""
"dist\produtos\gerador-de-funcao-minipa-2mhz-mfg-4202-a-portatil-manual-2kg-mlb6747664364\index.html","Gerador de Função Minipa 2mhz Mfg-4202 A Portátil Manual 2kg | OMEGAIMPORTS","GERAL A especificação é válida para temperatura 23C5C, umidade relativa 80% e tempo de aquecimento mínimo de 30 minutos. Ciclo de calibração recomendado de 1 ano..","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/gerador-de-funcao-minipa-2mhz-mfg-4202-a-portatil-manual-2kg-mlb6747664364/","4",""
"dist\produtos\gerador-de-funcao-minipa-2mhz-mfg-4202-a-portatil-manual-2kg-mlb6747664468\index.html","Gerador de Função Minipa 2mhz Mfg-4202 A Portátil Manual 2kg | OMEGAIMPORTS","GERAL A especificação é válida para temperatura 23C5C, umidade relativa 80% e tempo de aquecimento mínimo de 30 minutos. Ciclo de calibração recomendado de 1 ano..","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/gerador-de-funcao-minipa-2mhz-mfg-4202-a-portatil-manual-2kg-mlb6747664468/","4",""
"dist\produtos\index.html","Produtos | OMEGAIMPORTS","Catálogo com busca e filtros de ofertas públicas da OMEGAIMPORTS.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/","3",""
"dist\produtos\kit-10-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb3948192369\index.html","Kit 10 Mini fonte Chaveada Hi-link HLK-PM01 - 5 V 3 W | OMEGAIMPORTS","Kit com 10 mini fontes chaveadas Hi-Link HLK-PM01 de 5 V e 3 W, ideai","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-10-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb3948192369/","4",""
"dist\produtos\kit-100-barra-de-pinos-femea-1x15-2-54-mm-pic-arduino-preto-mlb4669479535\index.html","Kit 100 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino… | OMEGAIMPORTS","Kit 100 Peças - Barra de Pinos Fêmea 1x15 Passo 2,54 mm MCI 180° Este kit de 100 barras de pinos fêmea 1x15 com passo de 2,54 mm é ideal para projetos que exigem.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-100-barra-de-pinos-femea-1x15-2-54-mm-pic-arduino-preto-mlb4669479535/","4",""
"dist\produtos\kit-10un-mini-fonte-hi-link-hlk-pm01-110-220vac-5vdc-mlb4669463945\index.html","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc | OMEGAIMPORTS","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-10un-mini-fonte-hi-link-hlk-pm01-110-220vac-5vdc-mlb4669463945/","4",""
"dist\produtos\kit-10x-antena-gps-1575-42-mhz-com-suporte-a-3-v-5-v-mlb5272537202\index.html","Kit 10x Antena GPS 1575.42 MHz com Suporte A 3 V-5 V | OMEGAIMPORTS","10 unidades da Antena GPS com frequência de 1575.42 MHz que é ideal para projetos de navegação, rastreamento e localização. Com suporte a voltagem de 3 V a 5 V, essa.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-10x-antena-gps-1575-42-mhz-com-suporte-a-3-v-5-v-mlb5272537202/","4",""
"dist\produtos\kit-10x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb4051985849\index.html","Kit 10x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo) | OMEGAIMPORTS","10 unidades de Módulos de Comunicação Sem Fio TTGO T-Call V1.4 – ESP32 + SIM800L O TTGO T-Call V1.4 é um módulo integrado que combina o ESP32-WROver-B com o SIM800L,.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-10x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb4051985849/","4",""
"dist\produtos\kit-10x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375698778\index.html","Kit 10x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo) | OMEGAIMPORTS","Kit 10x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-10x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375698778/","4",""
"dist\produtos\kit-15-conectores-split-bolt-16mm-fendido-p-emenda-de-cabos-mlb5268502876\index.html","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda de Cabos | OMEGAIMPORTS","O Kit com 15 Conectores de Parafuso Fendido Split Bolt 16mm é ideal","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-15-conectores-split-bolt-16mm-fendido-p-emenda-de-cabos-mlb5268502876/","4",""
"dist\produtos\kit-200-barra-de-pinos-femea-1x15-2-54-mm-pic-arduino-preto-mlb5272894966\index.html","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino… | OMEGAIMPORTS","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino Preto","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-200-barra-de-pinos-femea-1x15-2-54-mm-pic-arduino-preto-mlb5272894966/","4",""
"dist\produtos\kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena-mlb4051929221\index.html","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena | OMEGAIMPORTS","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena-mlb4051929221/","4",""
"dist\produtos\kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375622238\index.html","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo) | OMEGAIMPORTS","TRATA-SE DE PRODUTOS NOVOS - EMBALADOS E NUNCA ABERTOS 20 unidades de Módulos de Comunicação Sem Fio TTGO T-Call V1.4 – ESP32 + SIM800L O TTGO T-Call V1.4 é um módulo.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375622238/","4",""
"dist\produtos\kit-2x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb4417997973\index.html","Kit 2x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo) | OMEGAIMPORTS","* TRATA-SE DE PRODUTOS NOVOS - EMBALADOS E NUNCA ABERTOS * 5 unidades de Módulos de Comunicação Sem Fio TTGO T-Call V1.4 – ESP32 + SIM800L O TTGO T-Call V1.4 é um.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-2x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb4417997973/","4",""
"dist\produtos\kit-30-placas-de-fenolite-ilhada-5x7-cm-pcb-perfurada-mlb5272637504\index.html","Kit 30 Placas de Fenolite Ilhada 5x7 Cm Pcb Perfurada | OMEGAIMPORTS","O Kit com 30 Placas de Fenolite Ilhada 5x7 cm é ideal para projetos eletrônicos e protótipos. Cada placa é perfurada e ilhada, facilitando a criação de circuitos sem.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-30-placas-de-fenolite-ilhada-5x7-cm-pcb-perfurada-mlb5272637504/","4",""
"dist\produtos\kit-3x-modulo-gps-neo-6m-v2-com-antena-arduino-esp32-esp8266-mlb7143332292\index.html","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266 | OMEGAIMPORTS","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-3x-modulo-gps-neo-6m-v2-com-antena-arduino-esp32-esp8266-mlb7143332292/","4",""
"dist\produtos\kit-5-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb4832394051\index.html","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W | OMEGAIMPORTS","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-5-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb4832394051/","4",""
"dist\produtos\kit-50-conectores-fendido-16mm-split-bolt-cobre-mlb3948176139\index.html","Kit 50 Conectores Fendido 16mm Split Bolt Cobre | OMEGAIMPORTS","Kit 50 Conectores Fendido 16mm Split Bolt Cobre Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-50-conectores-fendido-16mm-split-bolt-cobre-mlb3948176139/","4",""
"dist\produtos\kit-500-reguladores-de-tensao-ams1117-smd-3-3-v-mlb5249469476\index.html","Kit 500 Reguladores de Tensão Ams1117 Smd 3,3 V | OMEGAIMPORTS","Este kit contém 500 reguladores de tensão AMS1117 SMD, ideais para aplicações que exigem conversão de tensão estável e precisa para 3,3 V. Compactos e confiáveis, esses.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-500-reguladores-de-tensao-ams1117-smd-3-3-v-mlb5249469476/","4",""
"dist\produtos\kit-5x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375724278\index.html","Kit 5x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo) | OMEGAIMPORTS","* TRATA-SE DE PRODUTOS NOVOS - EMBALADOS E NUNCA ABERTOS * 5 unidades de Módulos de Comunicação Sem Fio TTGO T-Call V1.4 – ESP32 + SIM800L O TTGO T-Call V1.4 é um.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-5x-modulos-esp32-ttgo-t-call-sim800l-antena-novo-mlb5375724278/","4",""
"dist\produtos\kit-c-3-sensor-de-corrente-ac-nao-invasivosct-013-100-a-50-ma-mlb4669465391\index.html","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA | OMEGAIMPORTS","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-c-3-sensor-de-corrente-ac-nao-invasivosct-013-100-a-50-ma-mlb4669465391/","4",""
"dist\produtos\kit-com-100-prensa-cabos-pg9-cinza-vedacao-ip68-mlb3957971855\index.html","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68 | OMEGAIMPORTS","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68 Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/kit-com-100-prensa-cabos-pg9-cinza-vedacao-ip68-mlb3957971855/","4",""
